invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,discounted_price
I263473,C162574,Female,58,Shoes,3,1800.51,Credit Card,2/8/2021,Kanyon,1620.459
I873382,C289802,Female,54,Shoes,4,2400.68,Credit Card,7/1/2023,Metrocity,2160.612
I187160,C109491,Female,38,Shoes,5,3000.85,Debit Card,19/03/2022,Kanyon,2700.765
I648743,C218295,Female,61,Shoes,5,3000.85,Debit Card,2/1/2023,Mall of Istanbul,2700.765
I128518,C101108,Female,66,Shoes,1,600.17,Debit Card,6/9/2021,Mall of Istanbul,540.153
I332971,C387282,Female,51,Shoes,4,2400.68,Cash,13/01/2021,Istinye Park,2160.612
I786653,C405837,Female,53,Shoes,1,600.17,Cash,20/07/2022,Mall of Istanbul,540.153
I179338,C533520,Female,53,Shoes,2,1200.34,Cash,27/03/2021,Istinye Park,1080.306
I330964,C217919,Female,65,Shoes,2,1200.34,Debit Card,29/11/2022,Metropol AVM,1080.306
I155448,C182105,Female,37,Shoes,1,600.17,Cash,27/12/2021,Mall of Istanbul,540.153
I130443,C329003,Female,51,Shoes,1,600.17,Cash,8/6/2021,Istinye Park,540.153
I180570,C210236,Female,59,Shoes,5,3000.85,Cash,6/3/2021,Metrocity,2700.765
I466698,C303444,Female,51,Shoes,3,1800.51,Debit Card,24/02/2023,Kanyon,1620.459
I165625,C129849,Female,38,Shoes,4,2400.68,Cash,30/10/2022,Mall of Istanbul,2160.612
I258930,C289918,Female,66,Shoes,4,2400.68,Credit Card,13/07/2021,Istinye Park,2160.612
I187453,C690345,Female,42,Shoes,3,1800.51,Cash,29/01/2023,Metrocity,1620.459
I929854,C114606,Female,34,Shoes,1,600.17,Debit Card,4/1/2023,Metropol AVM,540.153
I176751,C182606,Female,52,Shoes,5,3000.85,Credit Card,26/09/2021,Kanyon,2700.765
I231514,C414958,Female,36,Shoes,1,600.17,Cash,21/12/2022,Emaar Square Mall,540.153
I255698,C207443,Female,65,Shoes,4,2400.68,Cash,28/10/2022,Metrocity,2160.612
I572568,C196813,Female,66,Shoes,4,2400.68,Credit Card,2/12/2022,Mall of Istanbul,2160.612
I340111,C222159,Female,62,Shoes,4,2400.68,Cash,1/4/2022,Mall of Istanbul,2160.612
I187159,C130462,Female,39,Shoes,5,3000.85,Debit Card,18/09/2021,Forum Istanbul,2700.765
I187305,C150584,Female,32,Shoes,3,1800.51,Debit Card,12/3/2022,Kanyon,1620.459
I602106,C241238,Female,53,Shoes,5,3000.85,Credit Card,26/08/2022,Istinye Park,2700.765
I333269,C121380,Female,37,Shoes,3,1800.51,Debit Card,26/05/2021,Viaport Outlet,1620.459
I240283,C812425,Female,53,Shoes,4,2400.68,Cash,10/1/2023,Metropol AVM,2160.612
I116064,C103877,Female,41,Shoes,3,1800.51,Credit Card,28/02/2021,Metropol AVM,1620.459
I631073,C132270,Female,39,Shoes,5,3000.85,Debit Card,10/4/2021,Emaar Square Mall,2700.765
I248527,C307014,Female,58,Shoes,1,600.17,Credit Card,30/05/2021,Viaport Outlet,540.153
I195981,C257683,Female,38,Shoes,1,600.17,Credit Card,6/8/2021,Kanyon,540.153
I264104,C177823,Female,46,Shoes,4,2400.68,Cash,4/4/2022,Istinye Park,2160.612
I255446,C126647,Female,54,Shoes,5,3000.85,Credit Card,17/02/2021,Zorlu Center,2700.765
I306370,C158827,Female,50,Shoes,4,2400.68,Credit Card,19/01/2023,Metrocity,2160.612
I565725,C230270,Female,64,Shoes,3,1800.51,Cash,24/06/2021,Viaport Outlet,1620.459
I858783,C307870,Female,65,Shoes,3,1800.51,Credit Card,2/2/2022,Kanyon,1620.459
I168315,C294623,Female,53,Shoes,3,1800.51,Cash,16/06/2021,Mall of Istanbul,1620.459
I295604,C327796,Female,39,Shoes,3,1800.51,Credit Card,7/6/2021,Metropol AVM,1620.459
I488609,C210060,Female,56,Shoes,3,1800.51,Credit Card,17/02/2022,Metropol AVM,1620.459
I907658,C107258,Female,65,Shoes,1,600.17,Cash,26/04/2022,Mall of Istanbul,540.153
I252778,C339202,Female,50,Shoes,1,600.17,Debit Card,12/7/2022,Istinye Park,540.153
I254078,C122157,Female,44,Shoes,3,1800.51,Cash,28/05/2021,Kanyon,1620.459
I230744,C176802,Female,49,Shoes,2,1200.34,Credit Card,4/7/2021,Emaar Square Mall,1080.306
I301174,C119219,Female,68,Shoes,2,1200.34,Credit Card,15/01/2023,Metrocity,1080.306
I332398,C986930,Female,63,Shoes,2,1200.34,Credit Card,14/12/2022,Metrocity,1080.306
I131914,C283898,Female,44,Shoes,2,1200.34,Cash,25/08/2022,Kanyon,1080.306
I310772,C237664,Female,54,Shoes,5,3000.85,Cash,19/05/2021,Istinye Park,2700.765
I227236,C273853,Female,62,Shoes,3,1800.51,Debit Card,18/02/2023,Mall of Istanbul,1620.459
I150992,C765432,Female,63,Shoes,5,3000.85,Credit Card,16/05/2022,Viaport Outlet,2700.765
I217749,C105743,Female,51,Shoes,1,600.17,Credit Card,3/10/2022,Mall of Istanbul,540.153
I330593,C682406,Female,41,Shoes,5,3000.85,Cash,28/10/2022,Kanyon,2700.765
I270089,C496393,Female,42,Shoes,4,2400.68,Credit Card,11/10/2022,Istinye Park,2160.612
I716275,C894269,Female,69,Shoes,4,2400.68,Debit Card,19/01/2023,Metropol AVM,2160.612
I237015,C294999,Female,39,Shoes,1,600.17,Credit Card,17/03/2022,Mall of Istanbul,540.153
I317330,C142672,Female,49,Shoes,5,3000.85,Credit Card,5/9/2022,Mall of Istanbul,2700.765
I223875,C493406,Female,34,Shoes,3,1800.51,Cash,30/06/2021,Emaar Square Mall,1620.459
I152436,C218079,Female,48,Shoes,2,1200.34,Debit Card,27/01/2021,Cevahir AVM,1080.306
I229719,C334097,Female,38,Shoes,1,600.17,Credit Card,5/1/2022,Mall of Istanbul,540.153
I153775,C921087,Female,60,Shoes,2,1200.34,Credit Card,12/9/2021,Metrocity,1080.306
I139026,C153137,Female,65,Shoes,1,600.17,Cash,30/01/2021,Zorlu Center,540.153
I213268,C136682,Female,63,Shoes,1,600.17,Cash,24/06/2021,Metrocity,540.153
I807712,C315726,Female,37,Shoes,1,600.17,Cash,1/9/2021,Metropol AVM,540.153
I232117,C336156,Female,39,Shoes,1,600.17,Credit Card,22/08/2022,Kanyon,540.153
I677367,C811884,Female,37,Shoes,5,3000.85,Credit Card,6/6/2022,Emaar Square Mall,2700.765
I360069,C191489,Female,39,Shoes,2,1200.34,Cash,2/3/2021,Viaport Outlet,1080.306
I920171,C212643,Female,54,Shoes,2,1200.34,Debit Card,16/01/2022,Mall of Istanbul,1080.306
I283725,C991037,Female,37,Shoes,5,3000.85,Cash,22/12/2021,Mall of Istanbul,2700.765
I276626,C330584,Female,56,Shoes,4,2400.68,Credit Card,27/08/2021,Mall of Istanbul,2160.612
I337611,C137689,Female,35,Shoes,4,2400.68,Debit Card,17/01/2022,Emaar Square Mall,2160.612
I225155,C267019,Female,55,Shoes,5,3000.85,Cash,2/8/2021,Metropol AVM,2700.765
I148577,C952467,Female,37,Shoes,5,3000.85,Cash,5/1/2023,Metrocity,2700.765
I236010,C133974,Female,48,Shoes,2,1200.34,Cash,4/5/2021,Kanyon,1080.306
I572573,C205210,Female,60,Shoes,3,1800.51,Debit Card,30/01/2023,Metropol AVM,1620.459
I311153,C805412,Female,60,Shoes,1,600.17,Credit Card,22/12/2021,Mall of Istanbul,540.153
I239588,C548682,Female,35,Shoes,5,3000.85,Cash,25/10/2022,Metrocity,2700.765
I130056,C746891,Female,60,Shoes,1,600.17,Credit Card,15/12/2022,Metropol AVM,540.153
I145366,C278199,Female,43,Shoes,3,1800.51,Cash,24/09/2022,Kanyon,1620.459
I107778,C291265,Female,55,Shoes,2,1200.34,Cash,6/8/2021,Metrocity,1080.306
I274561,C333570,Female,65,Shoes,4,2400.68,Cash,22/08/2021,Kanyon,2160.612
I195815,C487444,Female,55,Shoes,5,3000.85,Debit Card,18/09/2021,Forum Istanbul,2700.765
I177680,C163670,Female,67,Shoes,3,1800.51,Cash,26/03/2022,Emaar Square Mall,1620.459
I328692,C257256,Female,50,Shoes,5,3000.85,Cash,8/5/2021,Mall of Istanbul,2700.765
I226728,C230231,Female,60,Shoes,2,1200.34,Credit Card,2/10/2022,Istinye Park,1080.306
I492378,C748665,Female,46,Shoes,1,600.17,Credit Card,5/12/2021,Metropol AVM,540.153
I192278,C256308,Female,69,Shoes,1,600.17,Cash,27/05/2021,Mall of Istanbul,540.153
I186508,C137747,Female,50,Shoes,3,1800.51,Cash,29/04/2021,Mall of Istanbul,1620.459
I795476,C103541,Female,55,Shoes,3,1800.51,Credit Card,10/6/2022,Kanyon,1620.459
I109901,C812062,Female,46,Shoes,4,2400.68,Debit Card,6/12/2021,Istinye Park,2160.612
I109938,C407728,Female,67,Shoes,4,2400.68,Cash,1/4/2022,Metropol AVM,2160.612
I108380,C294039,Female,47,Shoes,3,1800.51,Cash,17/11/2022,Mall of Istanbul,1620.459
I323790,C212937,Female,58,Shoes,5,3000.85,Credit Card,16/10/2021,Zorlu Center,2700.765
I106639,C320849,Female,36,Shoes,2,1200.34,Cash,17/08/2021,Kanyon,1080.306
I193677,C763024,Female,45,Shoes,2,1200.34,Debit Card,10/9/2021,Metropol AVM,1080.306
I244653,C124871,Female,46,Shoes,4,2400.68,Cash,27/08/2022,Kanyon,2160.612
I678904,C150398,Female,64,Shoes,4,2400.68,Cash,9/6/2021,Mall of Istanbul,2160.612
I252801,C333187,Female,59,Shoes,1,600.17,Cash,29/12/2021,Mall of Istanbul,540.153
I107823,C204840,Female,66,Shoes,5,3000.85,Credit Card,17/09/2021,Istinye Park,2700.765
I211868,C338587,Female,37,Shoes,5,3000.85,Cash,13/03/2022,Emaar Square Mall,2700.765
I427761,C125428,Female,69,Shoes,4,2400.68,Credit Card,22/04/2022,Forum Istanbul,2160.612
I946274,C806853,Female,45,Shoes,5,3000.85,Cash,4/1/2021,Kanyon,2700.765
I102268,C298559,Female,47,Shoes,4,2400.68,Cash,31/01/2022,Zorlu Center,2160.612
I152043,C194522,Female,60,Shoes,3,1800.51,Credit Card,31/07/2022,Forum Istanbul,1620.459
I941707,C302944,Female,55,Shoes,3,1800.51,Credit Card,13/02/2021,Forum Istanbul,1620.459
I245312,C329316,Female,37,Shoes,4,2400.68,Cash,8/2/2021,Metropol AVM,2160.612
I762885,C163154,Female,33,Shoes,3,1800.51,Debit Card,23/09/2021,Mall of Istanbul,1620.459
I313885,C358151,Female,69,Shoes,3,1800.51,Credit Card,13/03/2022,Mall of Istanbul,1620.459
I327196,C177891,Female,60,Shoes,1,600.17,Debit Card,17/05/2022,Metrocity,540.153
I169002,C709549,Female,31,Shoes,5,3000.85,Cash,17/02/2022,Metropol AVM,2700.765
I111807,C248945,Female,38,Shoes,5,3000.85,Debit Card,29/04/2021,Zorlu Center,2700.765
I125352,C207437,Female,51,Shoes,1,600.17,Debit Card,2/8/2022,Viaport Outlet,540.153
I549259,C670220,Female,40,Shoes,5,3000.85,Cash,21/06/2022,Metrocity,2700.765
I185018,C397797,Female,69,Shoes,5,3000.85,Cash,28/12/2021,Mall of Istanbul,2700.765
I104058,C124321,Female,32,Shoes,2,1200.34,Cash,27/08/2022,Metropol AVM,1080.306
I933623,C100706,Female,43,Shoes,3,1800.51,Credit Card,24/01/2022,Mall of Istanbul,1620.459
I329991,C201012,Female,49,Shoes,3,1800.51,Credit Card,23/11/2021,Istinye Park,1620.459
I292056,C353878,Female,69,Shoes,3,1800.51,Cash,1/1/2022,Istinye Park,1620.459
I784128,C189693,Female,58,Shoes,3,1800.51,Cash,9/7/2021,Kanyon,1620.459
I307338,C495855,Female,45,Shoes,2,1200.34,Credit Card,24/08/2021,Zorlu Center,1080.306
I227852,C309683,Female,58,Shoes,1,600.17,Credit Card,14/01/2022,Metrocity,540.153
I108695,C197638,Female,69,Shoes,5,3000.85,Debit Card,20/07/2021,Emaar Square Mall,2700.765
I912885,C120935,Female,60,Shoes,1,600.17,Cash,28/01/2022,Istinye Park,540.153
I560517,C263536,Female,49,Shoes,2,1200.34,Cash,6/6/2021,Metrocity,1080.306
I541028,C293708,Female,63,Shoes,4,2400.68,Cash,12/6/2021,Istinye Park,2160.612
I297697,C291669,Female,68,Shoes,5,3000.85,Credit Card,27/04/2022,Forum Istanbul,2700.765
I284850,C238205,Female,58,Shoes,4,2400.68,Debit Card,13/02/2023,Istinye Park,2160.612
I588414,C199389,Female,69,Shoes,3,1800.51,Cash,28/03/2021,Metropol AVM,1620.459
I261283,C457906,Female,46,Shoes,1,600.17,Debit Card,20/10/2021,Kanyon,540.153
I117529,C908127,Female,60,Shoes,4,2400.68,Credit Card,8/9/2021,Istinye Park,2160.612
I714753,C133574,Female,59,Shoes,5,3000.85,Cash,9/5/2022,Metropol AVM,2700.765
I145220,C271559,Female,40,Shoes,3,1800.51,Debit Card,28/02/2021,Metrocity,1620.459
I107984,C326467,Female,64,Shoes,5,3000.85,Credit Card,20/09/2021,Istinye Park,2700.765
I877775,C267677,Female,50,Shoes,2,1200.34,Cash,28/04/2022,Metropol AVM,1080.306
I604905,C221921,Female,65,Shoes,3,1800.51,Credit Card,4/9/2022,Metrocity,1620.459
I181683,C249617,Female,35,Shoes,3,1800.51,Debit Card,17/08/2021,Mall of Istanbul,1620.459
I285089,C223235,Female,61,Shoes,5,3000.85,Credit Card,28/04/2021,Viaport Outlet,2700.765
I225753,C132636,Female,43,Shoes,3,1800.51,Credit Card,7/4/2022,Emaar Square Mall,1620.459
I217840,C356121,Female,52,Shoes,5,3000.85,Debit Card,16/02/2022,Viaport Outlet,2700.765
I838650,C188700,Female,54,Shoes,4,2400.68,Credit Card,23/12/2022,Cevahir AVM,2160.612
I133545,C931477,Female,67,Shoes,3,1800.51,Cash,17/02/2022,Metropol AVM,1620.459
I239492,C244362,Female,55,Shoes,2,1200.34,Cash,13/03/2022,Zorlu Center,1080.306
I243559,C152238,Female,31,Shoes,1,600.17,Debit Card,10/6/2021,Forum Istanbul,540.153
I433335,C820440,Female,36,Shoes,3,1800.51,Cash,5/6/2021,Forum Istanbul,1620.459
I213483,C109748,Female,66,Shoes,2,1200.34,Credit Card,21/11/2021,Kanyon,1080.306
I128723,C194170,Female,49,Shoes,1,600.17,Cash,8/11/2022,Istinye Park,540.153
I203033,C336729,Female,59,Shoes,3,1800.51,Credit Card,22/07/2021,Mall of Istanbul,1620.459
I133661,C284314,Female,36,Shoes,2,1200.34,Cash,23/01/2023,Kanyon,1080.306
I145305,C760404,Female,43,Shoes,1,600.17,Debit Card,8/4/2021,Emaar Square Mall,540.153
I296899,C760803,Female,51,Shoes,5,3000.85,Debit Card,21/03/2021,Kanyon,2700.765
I258456,C105860,Female,37,Shoes,2,1200.34,Cash,11/4/2021,Metropol AVM,1080.306
I311770,C142151,Female,53,Shoes,5,3000.85,Cash,5/6/2022,Cevahir AVM,2700.765
I309692,C159916,Female,60,Shoes,5,3000.85,Credit Card,1/4/2021,Emaar Square Mall,2700.765
I826511,C324895,Female,61,Shoes,4,2400.68,Cash,2/5/2021,Forum Istanbul,2160.612
I334902,C220825,Female,56,Shoes,4,2400.68,Cash,21/06/2021,Istinye Park,2160.612
I288084,C619978,Female,36,Shoes,2,1200.34,Cash,29/08/2021,Kanyon,1080.306
I228747,C151977,Female,59,Shoes,4,2400.68,Cash,7/9/2022,Forum Istanbul,2160.612
I300649,C128730,Female,35,Shoes,1,600.17,Cash,7/6/2021,Mall of Istanbul,540.153
I884632,C609891,Female,31,Shoes,3,1800.51,Cash,26/05/2021,Kanyon,1620.459
I301361,C192819,Female,63,Shoes,1,600.17,Cash,5/1/2021,Istinye Park,540.153
I152217,C542030,Female,32,Shoes,4,2400.68,Cash,5/7/2022,Kanyon,2160.612
I171864,C326377,Female,57,Shoes,4,2400.68,Credit Card,1/8/2022,Metrocity,2160.612
I597591,C334784,Female,50,Shoes,3,1800.51,Credit Card,21/03/2022,Mall of Istanbul,1620.459
I758806,C334060,Female,67,Shoes,2,1200.34,Credit Card,4/2/2022,Metrocity,1080.306
I279301,C371511,Female,54,Shoes,5,3000.85,Credit Card,26/01/2022,Metrocity,2700.765
I203706,C318975,Female,32,Shoes,2,1200.34,Debit Card,11/10/2021,Istinye Park,1080.306
I167371,C260468,Female,48,Shoes,5,3000.85,Cash,7/12/2022,Mall of Istanbul,2700.765
I197089,C319808,Female,31,Shoes,1,600.17,Credit Card,27/05/2021,Istinye Park,540.153
I165675,C206217,Female,59,Shoes,3,1800.51,Cash,17/03/2022,Kanyon,1620.459
I717577,C683083,Female,50,Shoes,2,1200.34,Credit Card,17/06/2021,Metrocity,1080.306
I171643,C161706,Female,64,Shoes,1,600.17,Cash,11/12/2021,Istinye Park,540.153
I263074,C889949,Female,62,Shoes,3,1800.51,Debit Card,16/08/2022,Kanyon,1620.459
I304851,C336096,Female,32,Shoes,3,1800.51,Cash,5/8/2022,Emaar Square Mall,1620.459
I243732,C138381,Female,48,Shoes,5,3000.85,Credit Card,15/03/2022,Metropol AVM,2700.765
I846225,C306235,Female,31,Shoes,3,1800.51,Debit Card,22/02/2022,Metrocity,1620.459
I154061,C555645,Female,60,Shoes,1,600.17,Credit Card,5/11/2021,Mall of Istanbul,540.153
I326599,C376605,Female,51,Shoes,1,600.17,Credit Card,4/12/2022,Cevahir AVM,540.153
I960014,C302660,Female,69,Shoes,2,1200.34,Credit Card,8/5/2022,Metrocity,1080.306
I128722,C910083,Female,46,Shoes,4,2400.68,Cash,19/09/2021,Metropol AVM,2160.612
I593416,C468940,Female,34,Shoes,5,3000.85,Cash,3/3/2023,Mall of Istanbul,2700.765
I123432,C540643,Female,64,Shoes,3,1800.51,Credit Card,17/01/2023,Mall of Istanbul,1620.459
I272650,C319000,Female,56,Shoes,1,600.17,Cash,2/9/2021,Cevahir AVM,540.153
I185765,C480501,Female,40,Shoes,2,1200.34,Debit Card,14/07/2022,Kanyon,1080.306
I250556,C137200,Female,40,Shoes,5,3000.85,Debit Card,16/08/2021,Metropol AVM,2700.765
I162170,C497520,Female,56,Shoes,4,2400.68,Debit Card,4/10/2022,Cevahir AVM,2160.612
I275774,C114431,Female,42,Shoes,3,1800.51,Cash,16/04/2022,Kanyon,1620.459
I124576,C597117,Female,39,Shoes,4,2400.68,Credit Card,5/1/2022,Zorlu Center,2160.612
I324620,C172566,Female,37,Shoes,2,1200.34,Credit Card,15/06/2022,Zorlu Center,1080.306
I148146,C221606,Female,56,Shoes,1,600.17,Cash,27/01/2022,Mall of Istanbul,540.153
I184362,C119954,Female,37,Shoes,1,600.17,Cash,7/3/2021,Forum Istanbul,540.153
I593716,C103389,Female,43,Shoes,2,1200.34,Credit Card,19/09/2021,Mall of Istanbul,1080.306
I190479,C173634,Female,53,Shoes,1,600.17,Cash,17/05/2022,Viaport Outlet,540.153
I536679,C141247,Female,50,Shoes,1,600.17,Credit Card,27/10/2022,Kanyon,540.153
I953897,C205796,Female,45,Shoes,1,600.17,Debit Card,25/12/2022,Viaport Outlet,540.153
I338432,C102084,Female,55,Shoes,2,1200.34,Cash,10/2/2023,Metrocity,1080.306
I200143,C309992,Female,58,Shoes,1,600.17,Cash,23/04/2022,Mall of Istanbul,540.153
I262087,C941937,Female,67,Shoes,2,1200.34,Credit Card,22/01/2023,Zorlu Center,1080.306
I267744,C749779,Female,51,Shoes,4,2400.68,Cash,28/07/2022,Metropol AVM,2160.612
I330526,C117214,Female,62,Shoes,1,600.17,Credit Card,17/01/2022,Viaport Outlet,540.153
I167850,C143851,Female,40,Shoes,5,3000.85,Cash,22/12/2022,Metropol AVM,2700.765
I141519,C335729,Female,54,Shoes,4,2400.68,Cash,12/3/2022,Metropol AVM,2160.612
I790021,C106009,Female,46,Shoes,2,1200.34,Credit Card,18/05/2021,Istinye Park,1080.306
I611428,C312513,Female,65,Shoes,1,600.17,Credit Card,7/7/2021,Kanyon,540.153
I163294,C351098,Female,38,Shoes,5,3000.85,Credit Card,13/03/2022,Mall of Istanbul,2700.765
I181373,C115034,Female,36,Shoes,4,2400.68,Debit Card,1/6/2021,Mall of Istanbul,2160.612
I171104,C227616,Female,52,Shoes,2,1200.34,Cash,15/06/2021,Zorlu Center,1080.306
I153677,C121564,Female,68,Shoes,5,3000.85,Credit Card,12/6/2022,Zorlu Center,2700.765
I268558,C154471,Female,46,Shoes,3,1800.51,Cash,18/03/2022,Kanyon,1620.459
I286877,C272826,Female,51,Shoes,5,3000.85,Cash,21/11/2022,Kanyon,2700.765
I605718,C274079,Female,33,Shoes,3,1800.51,Credit Card,26/12/2022,Mall of Istanbul,1620.459
I269022,C249132,Female,60,Shoes,4,2400.68,Credit Card,5/7/2022,Zorlu Center,2160.612
I141017,C201854,Female,37,Shoes,3,1800.51,Cash,16/05/2021,Mall of Istanbul,1620.459
I238618,C324901,Female,60,Shoes,2,1200.34,Credit Card,15/11/2022,Metrocity,1080.306
I312002,C337552,Female,44,Shoes,1,600.17,Debit Card,25/12/2021,Mall of Istanbul,540.153
I162742,C295553,Female,63,Shoes,5,3000.85,Debit Card,16/07/2022,Mall of Istanbul,2700.765
I123968,C193069,Female,46,Shoes,1,600.17,Credit Card,14/02/2021,Metrocity,540.153
I153634,C278646,Female,61,Shoes,5,3000.85,Credit Card,8/6/2021,Mall of Istanbul,2700.765
I152586,C229482,Female,49,Shoes,3,1800.51,Credit Card,18/07/2021,Forum Istanbul,1620.459
I178513,C219366,Female,44,Shoes,4,2400.68,Cash,3/5/2022,Zorlu Center,2160.612
I152063,C437056,Female,68,Shoes,2,1200.34,Cash,29/03/2021,Metrocity,1080.306
I964266,C153312,Female,47,Shoes,5,3000.85,Credit Card,6/2/2021,Istinye Park,2700.765
I115301,C119656,Female,67,Shoes,5,3000.85,Credit Card,14/10/2022,Mall of Istanbul,2700.765
I185164,C218325,Female,39,Shoes,3,1800.51,Cash,24/01/2023,Mall of Istanbul,1620.459
I233609,C123326,Female,59,Shoes,4,2400.68,Cash,7/8/2021,Kanyon,2160.612
I200500,C197026,Female,50,Shoes,4,2400.68,Credit Card,11/5/2021,Metrocity,2160.612
I134826,C275039,Female,67,Shoes,4,2400.68,Debit Card,8/8/2021,Mall of Istanbul,2160.612
I153556,C173398,Female,55,Shoes,5,3000.85,Cash,24/01/2021,Cevahir AVM,2700.765
I219113,C671908,Female,55,Shoes,1,600.17,Credit Card,18/06/2021,Viaport Outlet,540.153
I385064,C365532,Female,63,Shoes,4,2400.68,Debit Card,26/02/2023,Istinye Park,2160.612
I190686,C315066,Female,61,Shoes,1,600.17,Cash,19/09/2021,Kanyon,540.153
I197701,C314217,Female,58,Shoes,2,1200.34,Cash,22/10/2021,Viaport Outlet,1080.306
I328197,C807356,Female,68,Shoes,3,1800.51,Credit Card,18/04/2021,Istinye Park,1620.459
I176013,C305226,Female,57,Shoes,5,3000.85,Cash,17/09/2022,Metrocity,2700.765
I110133,C256926,Female,42,Shoes,5,3000.85,Cash,23/11/2022,Zorlu Center,2700.765
I309493,C262901,Female,61,Shoes,5,3000.85,Cash,27/06/2022,Forum Istanbul,2700.765
I816971,C319495,Female,62,Shoes,3,1800.51,Credit Card,7/12/2021,Metrocity,1620.459
I216616,C256029,Female,46,Shoes,3,1800.51,Credit Card,15/04/2021,Metropol AVM,1620.459
I293142,C519946,Female,54,Shoes,5,3000.85,Credit Card,21/01/2021,Mall of Istanbul,2700.765
I166487,C330162,Female,59,Shoes,2,1200.34,Cash,18/10/2021,Mall of Istanbul,1080.306
I182652,C385185,Female,63,Shoes,3,1800.51,Credit Card,3/3/2021,Emaar Square Mall,1620.459
I243262,C112343,Female,62,Shoes,3,1800.51,Credit Card,20/10/2021,Kanyon,1620.459
I192856,C883045,Female,37,Shoes,4,2400.68,Cash,21/08/2021,Istinye Park,2160.612
I287456,C249622,Female,53,Shoes,2,1200.34,Cash,19/12/2022,Metrocity,1080.306
I277830,C125946,Female,32,Shoes,3,1800.51,Debit Card,30/08/2022,Metropol AVM,1620.459
I125576,C842175,Female,41,Shoes,4,2400.68,Debit Card,22/01/2023,Istinye Park,2160.612
I317349,C214412,Female,37,Shoes,2,1200.34,Cash,13/06/2021,Metrocity,1080.306
I297571,C158524,Female,37,Shoes,2,1200.34,Cash,7/10/2021,Kanyon,1080.306
I537776,C213533,Female,36,Shoes,5,3000.85,Cash,9/7/2021,Metrocity,2700.765
I228566,C249268,Female,61,Shoes,4,2400.68,Debit Card,30/01/2022,Istinye Park,2160.612
I330018,C169208,Female,45,Shoes,5,3000.85,Debit Card,28/10/2022,Kanyon,2700.765
I845199,C173758,Female,60,Shoes,4,2400.68,Cash,18/03/2022,Metrocity,2160.612
I295205,C338913,Female,58,Shoes,1,600.17,Cash,4/9/2021,Metrocity,540.153
I289228,C204134,Female,44,Shoes,3,1800.51,Cash,23/12/2021,Metropol AVM,1620.459
I186487,C256199,Female,64,Shoes,3,1800.51,Cash,12/2/2021,Mall of Istanbul,1620.459
I176961,C191647,Female,45,Shoes,5,3000.85,Cash,2/9/2021,Viaport Outlet,2700.765
I154674,C998568,Female,53,Shoes,2,1200.34,Credit Card,23/12/2022,Mall of Istanbul,1080.306
I815551,C120973,Female,58,Shoes,1,600.17,Cash,24/09/2021,Mall of Istanbul,540.153
I184800,C226191,Female,48,Shoes,3,1800.51,Cash,8/4/2021,Forum Istanbul,1620.459
I297993,C311290,Female,67,Shoes,2,1200.34,Credit Card,6/1/2021,Istinye Park,1080.306
I167014,C277266,Female,33,Shoes,3,1800.51,Credit Card,4/11/2021,Mall of Istanbul,1620.459
I909164,C249814,Female,43,Shoes,2,1200.34,Cash,24/10/2022,Kanyon,1080.306
I163173,C229667,Female,65,Shoes,1,600.17,Cash,24/12/2021,Mall of Istanbul,540.153
